Here is the Costa Rica Pensionado Residency official-requirements table as of 2026.,,,,,
,,,,,
Category,Requirement,Exact eligibility rule,Evidence required,Status,Official source
Visa / residency type,Temporary residence as pensionado,Foreign applicant may apply for temporary residence as a pensionado if retired from habitual occupation and receiving pension income.,Pensionado residency application.,Mandatory,Costa Rica DGME / Costa Rican Embassy Germany (Embajada de Costa Rica)
Pension income,Minimum pension income,"Applicant must receive a pension greater than or equal to US$1,000/month.",Pension certification from issuing authority.,Mandatory,DGME search result / Embassy Germany (Migración Costa Rica)
Pension source,Pension must be retirement-based,Pension must arise from retirement or similar pension benefit.,"Social Security, government pension, private pension, or retirement-benefit certificate.",Mandatory,Embassy Germany (Embajada de Costa Rica)
Application form,Filiación form,Applicant must complete and sign the official affiliation/filiación form.,Completed form.,Mandatory,DGME checklist copy (Migratoria)
Request letter,Legal stay request,"Letter in Spanish must state purpose, applicant identity, nationality, age, occupation, Costa Rica address, and notification method.",Signed request letter.,Mandatory,DGME checklist copy (Migratoria)
Passport,Valid passport,Applicant must provide passport identity pages and maintain valid passport/travel document.,Passport copy and original.,Mandatory,DGME checklist copy (Migratoria)
Criminal background,Police clearance,Applicant must provide criminal background certificate from country of origin or where legally resident.,Apostilled/legalized police certificate.,Mandatory,DGME checklist copy / Immigration regulation (Migratoria)
Birth certificate,Identity / civil record,Applicant must provide birth certificate.,Apostilled/legalized birth certificate.,Mandatory,DGME checklist copy (Migratoria)
Photos,Passport photos,Applicant must provide recent passport-size photographs.,Passport photos.,Mandatory,DGME checklist copy / Regulation (Migratoria)
Fees,Government filing fees,Applicant must pay required DGME government fees and fiscal stamps.,Payment receipts.,Mandatory,Immigration regulation (Tribunal Supremo de Elecciones)
Document formalities,Legalization / apostille,Foreign documents must be legalized or apostilled; documents not in Spanish require official translation.,Apostille/legalization + Spanish translation.,Mandatory,Immigration regulation (Tribunal Supremo de Elecciones)
Health insurance / CCSS,Costa Rican social insurance after approval,"For renewal where applicable, residents must prove CCSS insurance coverage.",CCSS affiliation / insurance proof.,Conditional / renewal-stage,Costa Rica Migration Law 8764 (Migración Costa Rica)
Employment / business ownership,Not a work-authorizing category,"Pensionado status is based on pension income, not Costa Rican employment.",Pension proof rather than employment contract.,Mandatory,DGME pensionado category description (Embajada de Costa Rica)
Residency duration,Temporary residence,Pensionado is a temporary-residence category.,Approval resolution and DIMEX.,Mandatory result,DGME DIMEX page references pensionado residence (Migración Costa Rica)
Renewal,Biennial renewal,Pensionado temporary residence must be renewed every 2 years.,"Renewal application, DIMEX, updated pension/CCSS/status evidence.",Conditional,DGME regulation snippet (Migración Costa Rica)
Family / dependents,Dependents may be included,Pensionado category includes dependents.,"Marriage certificate, birth certificates, dependency evidence.",Conditional,DGME DIMEX / checklist references “pensionado y dependientes” (Migración Costa Rica)
Annual proof,Pension received in Costa Rica,Pensionados/rentistas must demonstrate they received in Costa Rica and converted into national currency the income used for residency.,Bank/exchange records.,Mandatory compliance,Costa Rica legal regulation via PGR (Procuraduría General de la República)
Disqualifying factor,Insufficient pension,"Pension below US$1,000/month does not satisfy the category.",Pension certificate showing amount.,Disqualifying,DGME / Embassy Germany (Migración Costa Rica)
Disqualifying factor,Incomplete or non-legalized documents,Foreign documents lacking apostille/legalization or official translation may not satisfy filing requirements.,Corrected/apostilled/translated documents.,Discretionary / curable,Immigration regulation (Tribunal Supremo de Elecciones)
,,,,,
"QIQ question areas needed: pension source, monthly pension amount, lifetime/retirement nature of income, passport validity, criminal record readiness, birth certificate readiness, apostille/translation readiness, dependents, CCSS renewal readiness, and whether the applicant can document pension receipt in Costa Rica.",,,,,
